iteration	candidate_commit	dev_rmse	val_rmse	runtime_s	memory_mb	status	failure_stage	failure_message	complexity	description	rationale	source
98	67cd42aa3fafdc373b06f2142da839b288f23913	17.773264		1.263	80.7	discard			medium	Apply 10% broad-normal shrinkage only when the final robust PCA eigengap is ambiguous	The local 112-neighbor Tukey-PCA normal is query-local but variance-limited under positional noise, whereas the 224-neighbor provisional normal averages noise more effectively but carries curvature and density bias. The prior smooth eigengap shrinkage improved medium and high noise but slightly regressed clean, low-noise, stripe, and gradient conditions because every patch borrowed some broad-scale bias. This change uses a hard confidence guard: after sign alignment, blend 10% of the broad normal only when the final covariance has lambda_0 / lambda_1 >= 0.5; a well-separated tangent remains exactly unchanged. Medium and high noise should improve on genuinely ambiguous patches, while clean, low, stripe, and gradient should regress less than with smooth shrinkage; curved patches with an ambiguous eigengap may still inherit broad-neighborhood bias. The cost is one eigenvalue ratio, threshold, vector blend, and normalization per query, with no new fit. Ablate by setting BROAD_NORMAL_BLEND to zero, exactly recovering the retained estimator.	original
99	db3677830056472db0c74e38e1ba1efbd13146c9	17.831596		1.281	81.1	discard			low	Shrink the final robust local covariance 10% toward the normalized broad provisional covariance	The final 112-neighbor Tukey covariance is query-local and outlier-resistant but remains sample-variance limited at medium and high positional noise, while the existing 224-neighbor provisional covariance averages more observations but carries curvature and density bias. Before only the final eigendecomposition, divide both scatter matrices by their traces and use C = 0.9 C_local + 0.1 C_broad. Trace normalization makes the blend dimensionless, and blending geometric second moments rather than finished normal vectors lets all three broad-scale principal directions regularize the noisy local tensor. Medium and high noise should improve; clean, low-noise, stripe, and gradient conditions may regress if broad curvature or density bias rotates the smallest eigendirection. The cost is constant-time 3-by-3 trace normalization and blending with no new neighborhood or eigendecomposition. Ablate by setting FINAL_COVARIANCE_SHRINKAGE to zero, which exactly restores the retained final covariance and normal. The ordered quadratic-jet item remains deferred because its prior prediction crash has no precise diagnostic to address.	original
100	f027eb519ec8cd01605d9849efadbb23bb783090	17.676831	14.848915	1.511	88.7	discard			baseline	Extend only the final Tukey-PCA refinement from 112 to 160 neighbors	The final 112-neighbor robust covariance remains sample-variance limited at medium and high positional noise, while broad support used before the local plane is corrected risks curvature and density bias. Keep the 224-neighbor provisional PCA and first 112-neighbor Tukey correction unchanged, then admit neighbors 113 through 160 only in the final fit. The Gaussian bandwidth remains the 112th-neighbor radius, so the added samples form a decaying tail, and the corrected-plane Tukey weights reject large normal residuals. Medium and high noise should improve through additional covariance averaging; clean, low-noise, stripe, and gradient conditions may regress if coherent curvature or density bias survives redescending rejection. The cost is 48 extra samples in only the final weighted-median and covariance calculations, with no additional eigendecomposition. Ablate by setting FINAL_NEIGHBOR_COUNT to 112, exactly recovering the retained estimator.	original
101	2f34c8eb31ef2e4997f159f866695ecb403dc91e	17.752443		1.431	100.2	provisional			baseline	Extend only the final Tukey-PCA refinement from 112 to 128 neighbors	The retained final 112-neighbor covariance is variance-limited at medium and high positional noise, while the measured 160-neighbor final-support probe improved both noisy conditions but introduced clean-geometry, stripe, and gradient bias. This parameter probe uses the untested intermediate 128-neighbor endpoint only after the first 112-neighbor Tukey correction. The bandwidth remains the 112th-neighbor radius, so neighbors 113 through 128 form a rapidly decaying Gaussian tail, and final redescending weights remove samples with large corrected-plane residuals. Medium and high noise should improve through additional covariance averaging; clean, low-noise, stripe, and gradient may regress through coherent curvature or density bias, but less than at 160. The cost is 16 extra samples in only the final weighted-median and covariance calculations, with no additional eigendecomposition. Ablate by setting FINAL_NEIGHBOR_COUNT to 112, exactly recovering the retained estimator.	original
102	5fda45744a61c14f43c8d99b89f1026a49e16cd1	17.711135		1.481	102.8	discard			baseline	Extend only the final Tukey-PCA refinement from 128 to 144 neighbors	The provisional 224-neighbor PCA stabilizes the normal under positional noise, but the final 128-neighbor robust covariance remains variance-limited. The measured 128-neighbor endpoint improved medium and high noise with smaller geometry losses than 160, so 144 is the untested midpoint: after the first 112-neighbor Tukey correction, neighbors 129 through 144 enter only the final covariance. The bandwidth remains fixed at the 112th-neighbor radius, making the added samples a decaying Gaussian tail, while redescending Tukey weights remove large corrected-plane residuals. Medium and high noise should improve through additional averaging; clean, low-noise, stripe, and gradient may regress through coherent curvature or density bias, but less than at 160. The cost is 16 extra samples in only the final weighted-median and covariance calculations, with no extra eigendecomposition. Ablate by restoring FINAL_NEIGHBOR_COUNT to 128, exactly recovering the current frontier estimator.	original
103	bf51a5034503930814090b354e3acf29e8b80a9f	17.731052		1.483	98.1	discard			baseline	Extend only the final Tukey-PCA refinement from 128 to 136 neighbors	The final 128-neighbor robust covariance remains variance-limited at medium and high positional noise, but extending it to 144 neighbors measured additional noise gains alongside clean-geometry and density-bias losses. This single midpoint probe admits neighbors 129 through 136 only after the first 112-neighbor Tukey correction. The Gaussian bandwidth remains fixed at the 112th-neighbor radius, so the added samples form a low-leverage decaying tail, while final redescending weights reject large corrected-plane residuals. Medium and high noise should improve through additional covariance averaging; clean, low-noise, stripe, and gradient conditions may regress through coherent curvature or density bias, but less than at 144. The cost is eight extra samples in only the final weighted-median and covariance calculations, with no extra eigendecomposition. Ablate by restoring FINAL_NEIGHBOR_COUNT to 128, exactly recovering the current frontier estimator.	original
104	fdfde4c9bc6f0a3ccb36f95678a1728a7c39a3e8	17.742641		1.451	98.3	discard			baseline	Narrow only the 128-neighbor final Tukey-PCA Gaussian bandwidth from the 112th- to the 104th-neighbor radius	The retained 128-neighbor final covariance improves medium- and high-noise averaging, but its 112th-neighbor Gaussian radius gives curved or density-biased outer samples enough leverage to cause measured clean, low-noise, stripe, and gradient regressions. Recompute only the final spatial weights as exp(-2 d^2 / r_104^2), retaining all 128 samples as a more strongly decaying tail and leaving the 224-neighbor initialization, first 112-neighbor Tukey correction, robust cutoffs, and fit count unchanged. Clean, low-noise, stripe, and gradient conditions should improve through lower neighborhood bias; medium and high noise may regress because the effective averaging support shrinks. The cost is one final weight-vector recomputation with no new samples or eigendecomposition. Ablate by setting FINAL_BANDWIDTH_COUNT back to 112. The ordered quadratic-jet item remains deferred because its prior prediction crash has no precise diagnostic to address, as required by the batch rule.	original
105	c8440a31e9959a8097b6b369ff2c990608e9179f	17.747725		1.437	106.6	discard			baseline	Narrow only the 128-neighbor final Tukey-PCA Gaussian bandwidth from the 112th- to the 108th-neighbor radius	The retained 128-neighbor final covariance improves medium- and high-noise averaging, but its 112th-neighbor Gaussian radius gives curved or density-biased outer samples enough leverage to regress clean, low-noise, stripe, and gradient accuracy. The measured 104th-neighbor radius recovered all four geometry-sensitive conditions but slightly worsened both noisy conditions, so 108 is the untested midpoint between that anchor and the retained 112 radius. Recomputing only the final spatial weights as exp(-2 d^2 / r_108^2) keeps all 128 samples as a decaying tail and should recover part of the curvature and neighborhood-bias gains with less loss of noise averaging than r_104. Clean, low, stripe, and gradient should improve; medium and high may regress slightly. The cost is one final weight-vector recomputation with no new samples or eigendecomposition. Ablate by setting FINAL_BANDWIDTH_COUNT back to 112 with every other setting unchanged. The ordered quadratic-jet item remains deferred because its prior prediction crash has no precise diagnostic to address.	original
106	816cdceadce255960f48254c3e3e3e8918c8d854	17.78095		1.429	95.4	discard			baseline	Reduce only the final Tukey-PCA refinement from 128 to 120 neighbors	Extending the final robust covariance from 112 to 128 neighbors improved medium- and high-noise accuracy through additional averaging, but measurably worsened clean, low-noise, stripe, and gradient conditions through curvature and density bias. Using 120 neighbors is the untested midpoint between those measured anchors: after the first 112-neighbor Tukey correction, only neighbors 113 through 120 enter the final covariance, with the bandwidth still fixed by the 112th-neighbor radius so they form a short decaying Gaussian tail. Clean, low-noise, stripe, and gradient conditions should improve by removing the least local eight samples; medium and high noise may regress slightly because of reduced covariance support. The change reduces final weighted-median and covariance work and adds no mechanism. Ablate by restoring FINAL_NEIGHBOR_COUNT to 128 with every other setting unchanged. The ordered quadratic-jet item remains deferred because its prior prediction crash has no precise diagnostic to address.	original
107	bd5fad39463780bc78561770040276a074ec165c	17.76706		1.437	110.8	discard			baseline	Reduce only the final Tukey-PCA refinement from 128 to 124 neighbors	The retained 128-neighbor final covariance improves medium- and high-noise accuracy through extra averaging, but its outer tail measurably increases curvature and density bias on clean, low-noise, stripe, and gradient patches. The measured 120-neighbor endpoint recovered all four geometry-sensitive conditions but removed enough support to regress both noisy conditions; 124 is the untested midpoint between those anchors. After the first 112-neighbor Tukey correction, neighbors 113 through 124 enter the final covariance with the bandwidth still fixed by the 112th-neighbor radius, so they remain a short Gaussian-decaying tail. Clean, low-noise, stripe, and gradient conditions should improve modestly through lower neighborhood bias; medium and high noise may regress slightly through reduced covariance averaging, but less than at 120. The change removes four samples from only the final weighted-median and covariance calculations and adds no mechanism. Ablate by restoring FINAL_NEIGHBOR_COUNT to 128 with every other setting unchanged. The ordered quadratic-jet item remains deferred because its prior prediction crash provides no precise diagnostic to address, as required by the batch strategy.	original
108	af785b593d79e788754be340f0441d63c13016f1	17.739822		1.384	96.0	discard			low	Estimate final Tukey residual location and scale from the 112-neighbor core while retaining 128-neighbor covariance support	The retained 128-neighbor final covariance improves medium- and high-noise averaging, but letting its outer Gaussian tail define the weighted residual median and MAD allows curved or density-biased tail samples to shift or inflate the robust reference distribution and thereby preserve their own leverage. In the final refinement, estimate the Tukey location m and scale 1.4826 weighted_median(|e-m|) from the nearest 112 residuals, then apply the resulting redescending weights to all 128 covariance samples. Clean, low-noise, stripe, and gradient conditions should improve through lower neighborhood bias; medium and high noise may regress if the smaller core yields a less stable scale and rejects valid noisy tail samples. The cost is only slicing existing arrays, with unchanged covariance support, sorting order, and eigendecomposition count. Ablate by setting FINAL_STATISTIC_COUNT to 128, exactly recovering the current frontier estimator. The ordered quadratic-jet item is skipped because its prior prediction crash has no precise diagnostic to address, as required by the batch strategy.	original
109	17df3c43ec218e66dfda870d34616efe47be4e4f	17.724675		1.359	96.1	discard			low	Estimate final Tukey residual location and scale from a 96-neighbor core while retaining 128-neighbor covariance support	The retained 128-neighbor final covariance improves medium- and high-noise averaging, but curved or density-biased tail samples can shift and inflate the robust residual distribution that controls their own Tukey leverage. The measured 112-core version improved every development condition, directly supporting stronger separation between robust-statistic locality and covariance support; using the nearest 96 residuals is the next untested locality anchor and matches a previously useful scale. Compute the Gaussian-weighted median m and MAD scale from that core, then apply the resulting redescending weights to all 128 samples. Clean, low-noise, stripe, and gradient conditions should improve through lower neighborhood bias; medium and high noise may also improve as at 112, but could regress if the smaller core makes scale estimation less stable. The cost is only array slicing, with unchanged covariance support and eigendecomposition count. Ablate by setting FINAL_STATISTIC_COUNT to 128, exactly recovering the current frontier estimator.	original
110	0c63783a7d4e6935ce45fa30196b03479c26afa3	17.706787		1.306	95.8	discard			low	Estimate final Tukey residual location and scale from an 80-neighbor core while retaining 128-neighbor covariance support	The retained 128-neighbor final covariance improves medium- and high-noise averaging, but curved or density-biased tail samples can shift and inflate the robust residual distribution that controls their own Tukey leverage. The measured 112- and 96-neighbor statistic cores improved every development condition, with the 96-core version giving larger clean, low-noise, stripe, and gradient gains, so 80 neighbors is the next untested locality anchor. Compute the Gaussian-weighted residual median m and MAD scale from the nearest 80 samples, then apply the resulting redescending weights to all 128 covariance samples. Clean, low-noise, stripe, and gradient should improve through lower neighborhood bias; medium and high noise may remain improved as at the two broader cores, but could regress if the smaller core makes scale estimation unstable. The cost is only array slicing with unchanged covariance support and eigendecomposition count. Ablate by setting FINAL_STATISTIC_COUNT to 128, exactly recovering the current frontier estimator.	original
111	ec660c723a45e368820b254e0948bda4d6c048b9	17.683331	14.779952	1.269	104.8	keep			low	Estimate final Tukey residual location and scale from a 64-neighbor core while retaining 128-neighbor covariance support	The 128-neighbor final covariance improves positional-noise averaging, but curved or density-biased tail samples can shift and inflate the robust residual distribution that controls their own Tukey leverage. The measured 112-, 96-, and 80-neighbor statistic cores improved every development condition, with increasingly local cores giving larger clean, low-noise, stripe, and gradient gains, so 64 neighbors is the next untested locality anchor. Compute the Gaussian-weighted residual median m and MAD scale from the nearest 64 samples, then apply the resulting redescending weights to all 128 covariance samples. Clean, low-noise, stripe, and gradient should improve through lower neighborhood bias; medium and high noise may remain improved as at the broader cores, but could regress if 64 samples make scale estimation unstable. The cost is only array slicing, with unchanged covariance support and eigendecomposition count. Ablate by setting FINAL_STATISTIC_COUNT to 128, exactly recovering the current frontier estimator.	original
112	fcdd215654144448371a2755bf23c2957f97002a	17.653775		1.245	96.8	discard			baseline	Estimate final Tukey residual location and scale from a 48-neighbor core while retaining 128-neighbor covariance support	The 128-neighbor final covariance supplies useful positional-noise averaging, but curved or density-biased outer samples can shift and inflate the robust residual distribution that controls their own Tukey leverage. The measured 112-, 96-, 80-, and 64-neighbor statistic cores improved every development condition, with increasingly local cores giving larger clean, low-noise, stripe, and gradient gains; 48 neighbors is the next untested scale anchor. Compute the Gaussian-weighted residual median m and MAD scale from the nearest 48 samples, then apply the resulting redescending weights to all 128 covariance samples. Clean, low-noise, stripe, and gradient should improve through lower neighborhood bias; medium and high noise may remain improved as at broader cores, but could regress if 48 samples make scale estimation unstable. The cost is only a smaller array slice, with unchanged covariance support and eigendecomposition count. Ablate by setting FINAL_STATISTIC_COUNT back to 64, exactly recovering the current frontier estimator.	original
113	ff67f75617af30a129220f853eb8e47e282c68ec	17.655119		1.295	96.9	discard			low	Estimate final Tukey residual location from 48 core neighbors while retaining the 64-neighbor scale estimate	Curvature or asymmetric density can offset the final residual sheet, so its robust center should be highly query-local; however, estimating MAD from the same small core can make the rejection scale noisy. The measured 48-neighbor joint location-scale probe improved every development condition but less than the retained 64-neighbor version, motivating this independent separation: compute m as the Gaussian-weighted median of the nearest 48 residuals, compute sigma = 1.4826 weighted_median(|e - m|) from the nearest 64, and apply the resulting Tukey weights to all 128 covariance samples. Clean, low-noise, stripe, and gradient conditions should improve through a more local center, while medium and high noise should retain the stabler 64-sample scale but may regress if the 48-sample location is noisy. The cost is one smaller median sort with unchanged covariance support and eigendecomposition count. Ablate by setting FINAL_LOCATION_COUNT back to 64, exactly recovering the frontier estimator.	original
114	717c1408dbb795d80d5f4e29b052e6b715125815	17.682077		1.274	110.2	discard			low	Estimate final Tukey residual scale from 48 core neighbors while retaining the 64-neighbor location estimate	Curvature and asymmetric density can inflate the final residual MAD when samples farther from the query define the rejection scale, but the prior 48-neighbor location-only probe showed that making the center equally local destabilizes high-noise patches. This complementary separation keeps the retained Gaussian-weighted residual median from 64 neighbors, computes sigma = 1.4826 weighted_median(|e - m_64|) from the nearest 48, and applies the resulting Tukey weights to all 128 covariance samples. The earlier joint 48-neighbor probe improved every development condition, while removing its local scale in the location-only probe specifically lost high-noise accuracy, so clean, low-noise, stripe, and gradient conditions should improve through less curvature-inflated leverage and medium/high noise may also improve; they could regress if 48 samples make MAD unstable. The cost is one smaller median slice with unchanged covariance support and eigendecomposition count. Ablate by setting FINAL_SCALE_COUNT back to 64, exactly recovering the frontier estimator.	original
115	aaa14167439bb3ca5e216dd3f4aea39c386072a7	17.946627		1.359	113.4	discard			low	Use corrected tangent-plane distance for the final robust PCA spatial kernel	Euclidean distance mixes lateral surface separation with normal-direction positional noise, so noisy samples can lose Gaussian weight even when they are laterally close and useful for tangent estimation. Keep the broad initialization and first Tukey correction unchanged, then project query-to-neighbor offsets onto the first corrected tangent and use exp(-2 ||P_T(p-q)||^2 / r_112^2) only for the final 128-neighbor fit; the final Tukey weights still reject large normal residuals. Medium and high noise should improve through greater effective covariance support, while clean, low-noise, stripe, and gradient conditions may regress if curvature or a still-inaccurate corrected normal makes geometrically distant points appear close. The cost is one projection and final kernel recomputation with no extra eigendecomposition. Ablate by using the cached Euclidean-distance Gaussian weights in the final pass, exactly recovering the frontier estimator. The ordered quadratic-jet item remains deferred because its prior prediction crash has no precise diagnostic to address; the earlier tangent-distance failure applied the kernel in both refinements from the provisional plane, whereas this independently tests it only after robust correction.	original
116	4827e6b23ec56e8021ac8b05633254a22568c419	17.632223		1.179	96.8	provisional			baseline	Estimate final Tukey residual location and scale from a 32-neighbor core while retaining 128-neighbor covariance support	The final 128-neighbor covariance provides useful positional-noise averaging, but curved or density-biased samples farther from the query can shift and inflate the robust residual distribution that controls their own Tukey leverage. Reducing only the final weighted-median and MAD core from 64 to 32 neighbors makes that reference distribution more query-local while leaving covariance support, Gaussian weighting, Tukey cutoffs, and all three eigendecompositions unchanged. The prior 48-neighbor probe still improved every development condition over the retained 64-neighbor estimator, but by less overall, so this next scale anchor tests whether additional curvature-bias reduction outweighs less stable robust statistics. Clean, stripe, and gradient conditions should improve if locality dominates; low, medium, and high noise may regress if 32 samples make location or scale estimation unstable. The cost is a smaller median sort and no added asymptotic complexity. Ablate by restoring FINAL_STATISTIC_COUNT to 64, exactly recovering the frontier estimator.	original
117	6af681697f75b1d1e4bad939678eea283febff1e	17.665592		1.18	96.8	discard			baseline	Estimate final Tukey residual location and scale from a 16-neighbor core while retaining 128-neighbor covariance support	The final 128-neighbor covariance provides positional-noise averaging, but curved or density-biased samples farther from the query can shift and inflate the robust residual distribution that controls their own Tukey leverage. Reducing only the final weighted-median and MAD core from 32 to 16 neighbors makes that reference distribution more query-local while leaving covariance support, Gaussian weighting, Tukey cutoffs, and all three eigendecompositions unchanged. The measured 32-neighbor probe improved every development condition over the validated 64-neighbor estimator, so 16 is the next untested scale anchor. Clean, stripe, and gradient conditions should improve if reduced neighborhood bias dominates; low, medium, and high noise may regress if 16 samples make location and scale estimates unstable. The cost is a smaller median sort with no added asymptotic complexity. Ablate by restoring FINAL_STATISTIC_COUNT to 32, exactly recovering the current provisional frontier. The ordered quadratic-jet item remains deferred because its prior prediction crash has no precise diagnostic to address, as required by the batch strategy.	original
118	b006c22df53ebe25030c4c2c11b3280fb8ed7e25	17.636826		1.184	96.8	discard			baseline	Estimate final Tukey residual location and scale from a 24-neighbor core while retaining 128-neighbor covariance support	Curved or density-biased samples far from the query can shift and inflate the robust residual distribution that controls their own Tukey leverage. The retained 32-neighbor statistic core improved all six development conditions over the validated 64-neighbor estimator, while the measured 16-neighbor core improved medium and high noise but regressed clean, low-noise, stripe, and gradient accuracy; 24 neighbors is the untested midpoint that localizes the weighted median and MAD without the full instability of 16 samples. Medium and high noise should improve through the more local rejection reference, while clean, low-noise, stripe, and gradient may regress modestly if the smaller robust-statistic sample is noisy. The cost is only a smaller median sort, with unchanged 128-neighbor covariance support and eigendecomposition count. Ablate by restoring FINAL_STATISTIC_COUNT to 32, exactly recovering the current frontier. The ordered quadratic-jet item remains deferred because its prior prediction failure has no precise diagnostic to address, as required by the batch strategy.	original
119	30d61b87c92be1e9b5cb787358465a6b13f51ac6	17.630768		1.239	104.8	discard			baseline	Estimate final Tukey residual location and scale from a 28-neighbor core while retaining 128-neighbor covariance support	The final 128-neighbor covariance averages positional noise, but curved or density-biased outer samples can shift and inflate the robust residual distribution that controls their own Tukey leverage. The retained 32-neighbor statistic core improved all six development conditions, while the measured 24-neighbor core improved medium and high noise but modestly regressed clean, low-noise, stripe, and gradient accuracy; 28 neighbors is the untested midpoint that may preserve some noise benefit without making the weighted median and MAD as unstable as at 24. Medium and high noise should improve, while clean, low-noise, stripe, and gradient may regress slightly. The cost is only a smaller median sort, with unchanged 128-neighbor covariance support and eigendecomposition count. Ablate by restoring FINAL_STATISTIC_COUNT to 32, exactly recovering the current frontier. The ordered quadratic-jet item remains deferred because its prior prediction failure has no precise diagnostic to address, as required by the batch strategy.	original
120	74523654af09c4f9bf9039a173333765d1aec8e4	17.630704		1.226	96.5	discard			baseline	Estimate final Tukey residual location and scale from a 30-neighbor core while retaining 128-neighbor covariance support	The final 128-neighbor covariance averages positional noise, but curved or density-biased outer samples can shift and inflate the robust residual distribution that determines their own Tukey leverage. The retained 32-neighbor core improved all six development conditions, while reducing it to 28 improved medium, high, and gradient but slightly regressed clean, low-noise, and stripe; 30 is the next untested midpoint. Computing the Gaussian-weighted residual median and MAD from 30 nearest samples should retain part of the medium/high-noise gain from a more query-local rejection reference, with smaller possible clean, low-noise, stripe, and gradient regressions than at 28. The cost is only a slightly smaller median sort, with unchanged 128-neighbor covariance support and three eigendecompositions. Ablate by restoring FINAL_STATISTIC_COUNT to 32, exactly recovering the current frontier.	original
121	0c301b97330c7b2b536027d1c3ac27ccd2bed373	17.624252		1.216	96.9	discard			low	Estimate final Tukey residual location from 32 neighbors and scale from 48 neighbors	The retained 32-neighbor statistic core makes the residual center query-local, reducing curvature and density bias, but using the same small core for MAD can make the rejection scale noisy. Keep the Gaussian-weighted residual median on the nearest 32 samples, estimate sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 48, and apply Tukey weights to all 128 final-covariance samples. Low-, medium-, and high-noise conditions should improve through a stabler scale; clean, stripe, and gradient may regress if the broader scale reflects curvature and preserves biased tail samples. The cost is a 48-value scale sort instead of 32 values, with unchanged support and eigendecomposition count. Ablate by setting FINAL_SCALE_COUNT to 32, exactly recovering the frontier estimator.	original
122	894948dfb7913302206414fba60fad48ae296af7	17.623986		1.184	96.9	discard			low	Estimate final Tukey residual location from 24 neighbors while retaining the 32-neighbor scale estimate	The retained 32-neighbor weighted residual median and MAD balance query locality against statistical stability, but curvature or asymmetric density can still offset the residual center while the scale itself benefits from all 32 samples. The measured joint 24-neighbor location-scale probe improved medium and high noise but regressed clean, low-noise, stripe, and gradient conditions, so this independently separates those roles: compute the final residual median from 24 neighbors, compute MAD around that median from 32 neighbors, and apply the resulting Tukey weights to all 128 covariance samples. Medium and high noise should improve if their measured gain came from a more local residual center; clean, low-noise, stripe, and gradient may regress if the 24-sample location is unstable. The cost is a smaller location sort with unchanged covariance support and eigendecomposition count. Ablate by setting FINAL_LOCATION_COUNT to 32, exactly recovering the frontier estimator.	original
123	83ae5c635255b44a370449bd33ca965f477fa625	17.642633		1.179	99.4	discard			baseline	Estimate final Tukey residual location from 32 neighbors and scale from 24 neighbors	The retained 32-neighbor residual median is query-local, but estimating MAD over the same radius can let curvature or asymmetric density inflate the rejection scale and preserve biased outer samples. Keep the final residual location fixed at its retained 32-neighbor weighted median, estimate sigma = 1.4826 weighted_median(|e - m_32|) from only the nearest 24 samples, and apply the resulting Tukey weights to all 128 covariance samples. The joint 24-neighbor probe improved medium and high noise while the 24-neighbor location-only probe lost high-noise accuracy, so isolating the more local scale should test whether it supplies that noise gain without destabilizing the center. Medium and high noise should improve; clean, low-noise, stripe, and gradient may regress if the 24-sample MAD is noisy or too small. The cost is a smaller scale sort with unchanged covariance support and eigendecomposition count. Ablate by restoring FINAL_SCALE_COUNT to 32, exactly recovering the frontier estimator.	original
124	8883a5187798a39b4aef1825f24a5eeb626c556e	17.539547	14.705215	1.09	97.3	keep			baseline	Estimate first-pass Tukey residual location and scale from a 64-neighbor core while retaining 112-neighbor covariance support	The first robust refinement currently lets all 112 residuals define their own weighted median and MAD, so curved or density-biased outer samples can shift or inflate the rejection reference before the local plane is corrected. Compute the first-pass Gaussian-weighted residual median and MAD from the nearest 64 samples, then apply the resulting Tukey weights to all 112 covariance samples; mathematically this separates the locality of the robust reference distribution from the support used for noise averaging, as already beneficial in the final refinement. Clean, low-noise, stripe, and gradient conditions should improve through lower neighborhood bias; medium and high noise may regress because residuals come from the broad provisional normal and 64 samples give a less stable first-pass scale. The cost is only a smaller median sort, with unchanged covariance support and eigendecomposition count. Ablate by restoring FIRST_STATISTIC_COUNT to 112, exactly recovering the current frontier estimator. The ordered quadratic-jet item remains deferred because its prior prediction crash has no precise diagnostic to address, as required by the batch strategy.	original
125	dee737d4500ad58aca07a82fba835e0d97c62dcb	17.436335		1.046	97.2	provisional			baseline	Reduce the first-pass Tukey residual-statistic core from 64 to 32 neighbors while retaining 112-neighbor covariance support	The retained 64-neighbor first-pass statistic core improved every condition, showing that curved or density-biased outer residuals had been shifting and inflating the robust reference distribution before the local plane was corrected. Reducing only that core to 32 neighbors tests the next query-local scale anchor: compute the Gaussian-weighted residual median m and MAD scale sigma from the nearest 32 samples, then apply Tukey weights (1 - ((e - m)/(4.62 sigma))^2)^2 to all 112 covariance samples. Clean, stripe, and gradient conditions should improve through lower curvature and neighborhood bias; low, medium, and high noise may also improve if tail contamination dominates, but may regress because residuals from the broad provisional plane make a 32-sample location and scale less stable. The cost is a smaller median sort with unchanged covariance support and eigendecomposition count. Ablate by restoring FIRST_STATISTIC_COUNT to 64, exactly recovering the current frontier estimator.	original
126	b9fe9aae2529793d9481d9a4ac2dbb5addefcd91	17.418577		1.048	98.4	discard			baseline	Reduce the first-pass Tukey residual-statistic core from 32 to 16 neighbors while retaining 112-neighbor covariance support	The retained 64-neighbor first-pass statistic core improved all conditions, and the provisional 32-neighbor core further improved low, medium, high, and gradient accuracy, indicating that curved or density-biased outer residuals still shift or inflate the robust reference distribution before the local plane is corrected. Reducing only this core to 16 neighbors is the next untested scale anchor: compute the Gaussian-weighted residual median and MAD from the nearest 16 samples, then apply the same Tukey weights to all 112 covariance samples. Medium and high noise and gradient may improve if removing tail contamination dominates; clean, low-noise, and stripe may regress because residuals from the broad provisional plane make a 16-sample location and scale less stable. The cost is a smaller median sort with unchanged covariance support, fit count, and asymptotic complexity. Ablate by restoring FIRST_STATISTIC_COUNT to 32, exactly recovering the current provisional frontier.	original
127	7a657db5b4cf4317e5750c9335fd6a2acc2934c5	17.414162		1.069	97.1	discard			baseline	Reduce the first-pass Tukey residual-statistic core from 32 to 24 neighbors while retaining 112-neighbor covariance support	The first robust refinement uses residuals from the broad provisional plane, and curved or density-biased outer samples can shift and inflate the Tukey location and scale that determine their own leverage. The retained 32-neighbor core improved low, medium, high, and gradient accuracy over 64 neighbors, while the measured 16-neighbor core further improved medium and high noise but regressed clean, low-noise, stripe, and gradient conditions through unstable statistics; 24 is the next untested midpoint. Compute the Gaussian-weighted residual median and MAD from the nearest 24 samples, then apply the unchanged Tukey weights to all 112 covariance samples. Medium and high noise may improve through a more query-local rejection reference, while clean, low-noise, stripe, and gradient may regress modestly if the smaller first-pass statistic is less stable. The cost is a smaller median sort with unchanged covariance support, fit count, and asymptotic complexity. Ablate by restoring FIRST_STATISTIC_COUNT to 32, exactly recovering the current frontier estimator.	original
128	8c80d62e3a01e11dcc1e521d5d9205fbcbc90baf	17.434364		1.015	108.1	discard			baseline	Reduce the first-pass Tukey residual-statistic core from 32 to 28 neighbors while retaining 112-neighbor covariance support	Curved or density-biased outer residuals from the broad provisional plane can shift and inflate the first Tukey location and scale, allowing those samples to preserve their own leverage. The retained 32-neighbor core improved low, medium, high, and gradient accuracy over 64 neighbors, while the measured 24-neighbor core further improved medium and high noise but regressed stripe; 28 is the next untested midpoint. Compute the Gaussian-weighted residual median and MAD from the nearest 28 samples, then apply the unchanged Tukey weights to all 112 covariance samples. Medium and high noise and gradient should improve through a more query-local rejection reference; clean and low noise should remain near the frontier, while stripe may regress if the smaller statistic core is unstable. The cost is only a smaller median sort, with unchanged covariance support, fit count, and asymptotic complexity. Ablate by restoring FIRST_STATISTIC_COUNT to 32, exactly recovering the current frontier estimator.	original
129	11e8b7ec7d7ba99b80220e0cece566148b9572f1	17.418637		1.016	110.2	discard			low	Estimate first-pass Tukey residual location from 32 neighbors and scale from 24 neighbors	The retained 32-neighbor first-pass residual core improves noise robustness and gradient accuracy, but using one radius for both robust location and scale conflates two roles: the median needs enough samples to stably locate the provisional surface sheet, whereas MAD measured farther from the query can be inflated by curvature or asymmetric density and preserve biased samples. Keep the first-pass Gaussian-weighted residual median on 32 neighbors, estimate sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 24, and apply the unchanged Tukey weights to all 112 covariance samples. Medium and high noise should improve if the measured gains from smaller joint cores came from a more local rejection scale; clean, low-noise, stripe, and gradient may regress if the 24-sample MAD is unstable or too small. The cost is only a smaller scale sort, with unchanged covariance support and eigendecomposition count. Ablate by setting FIRST_SCALE_COUNT to 32, exactly recovering the current frontier estimator.	original
